,Home,Away,HW,D,AW,outcome,B365H,B365D,B365A,predicted_outcome,predicted_percent,payouts,total_payouts
188,1,44,0.5817911450123723,0.24094605665606,0.19546439594034837,2,1.6,3.9,5.5,0,0.5817911450123723,-50.0,1030.5
189,44,16,0.3150621469884578,0.2731591206921761,0.43117796971578554,2,3.2,3.1,2.35,2,0.43117796971578554,117.5,1098.0
190,44,0,0.1405867843776785,0.2061607347916032,0.6691689096729495,2,6.0,3.9,1.57,2,0.6691689096729495,78.5,1126.5
191,49,44,0.5268337294175232,0.25804329847188745,0.23403443378783026,0,1.83,3.4,4.6,0,0.5268337294175232,91.5,1168.0
192,38,44,0.5720923922675589,0.2431584355047968,0.2030438621371263,2,1.6,3.9,5.5,0,0.5720923922675589,-50.0,1118.0
193,25,44,0.8747953987985577,0.09765796966652321,0.029395414960525307,0,1.12,8.0,23.0,0,0.8747953987985577,56.00000000000001,1124.0
194,44,23,0.37756965192193687,0.2607606912323027,0.38074963453681604,2,2.62,3.5,2.55,2,0.38074963453681604,127.49999999999999,1201.5
195,26,44,0.8565547243723878,0.10689495804448891,0.038524011512561344,0,1.11,8.5,23.0,0,0.8565547243723878,55.50000000000001,1207.0
196,16,44,0.6402138713775812,0.2205935735098509,0.1562895946639108,0,1.65,3.8,5.25,0,0.6402138713775812,82.5,1239.5
197,44,18,0.25866441928989226,0.25540214251214244,0.5047427723795527,1,4.0,3.6,1.88,2,0.5047427723795527,-50.0,1189.5
198,18,38,0.6785631739508474,0.1899484687709779,0.14444408885623988,0,1.95,3.4,4.0,0,0.6785631739508474,97.5,1237.0
199,23,18,0.25414537187705627,0.22236626658127082,0.5395530865201776,1,2.35,3.3,3.0,2,0.5395530865201776,-50.0,1187.0
200,10,18,0.3659085420808068,0.24874185774095262,0.40386861622945175,2,2.35,3.1,3.25,2,0.40386861622945175,162.5,1299.5
201,1,18,0.30363625390487237,0.24638726067885725,0.468330098649317,0,2.4,3.2,3.0,2,0.468330098649317,-50.0,1249.5
